id,nome_banco,nome_chave,homonimo
0005349558315095,juliano manabu iyoda,JULIANO MANABU IYODA,Identificação_Exata
0008017722335756,maria aparecida fernandes,MARCIA APARECIDA FERNANDES,Identificação_Exata
0029993256817957,thiago oliveira dos santos,THIAGO OLIVEIRA DOS SANTOS,Identificação_Exata
0033981436042117,ricardo massa ferreira lima,RICARDO MASSA FERREIRA LIMA,Identificação_Exata
0048790978449306,avanilde kemczinski,AVANILDE KEMCZINSKI,Identificação_Exata
0054098292730720,silvana rossetto,SILVANA ROSSETTO,Identificação_Exata
0060120644445370,vanessa braganholo murta,VANESSA BRAGANHOLO MURTA,Identificação_Exata
0065931835203045,kelson romulo teixeira aires,KELSON ROMULO TEIXEIRA AIRES,Identificação_Exata
0069989873499216,jeroen antonius maria van de graaf,JEROEN ANTONIUS MARIA VAN DE GRAAF,Identificação_Exata
0084300900034108,andre luis de medeiros santos,ANDRE LUIS DE MEDEIROS SANTOS,Identificação_Exata
0095921943345974,adriano mauro cansian,ADRIANO MAURO CANSIAN,Identificação_Exata
0097703442306179,cesar augusto viana melo,CESAR AUGUSTO VIANA MELO,Identificação_Exata
0098763826166873,ed porto bezerra,ED PORTO BEZERRA,Identificação_Exata
0102488447573085,jose antonio moreira xexeo,JOSE ANTONIO MOREIRA XEXEO,Identificação_Exata
0104124422364023,claudio de souza baptista,CLAUDIO DE SOUZA BAPTISTA,Identificação_Exata
0120615995402345,fabiola goncalves pereira greve,FABIOLA GONCALVES PEREIRA GREVE,Identificação_Exata
0130205470596637,eduardo cunha de almeida,EDUARDO CUNHA DE ALMEIDA,Identificação_Exata
0131770792108992,joao eduardo ferreira,JOAO EDUARDO FERREIRA,Identificação_Exata
0133757419649661,steffen lewitzka,STEFFEN LEWITZKA,Identificação_Exata
0135240995277345,paulo roberto ferreira junior,PAULO ROBERTO FERREIRA JUNIOR,Identificação_Exata
0140365057016044,ivan rizzo guilherme,IVAN RIZZO GUILHERME,Identificação_Exata
0145887238250184,edson dos santos moreira,EDSON DOS SANTOS MOREIRA,Identificação_Exata
0147487762250438,debora abdalla santos,DEBORA ABDALLA SANTOS,Identificação_Exata
0149028226656519,douglas dyllon jeronimo de macedo,DOUGLAS DYLLON JERONIMO DE MACEDO,Identificação_Exata
0162081093970868,ricardo terra nunes bueno villela,RICARDO TERRA NUNES BUENO VILLELA,Identificação_Exata
0163488885070864,cleo zanella billa,CLEO ZANELLA BILLA,Identificação_Exata
0170428647417667,marcelo medeiros eler,MARCELO MEDEIROS ELER,Identificação_Exata
0175368707173285,carlos eduardo pereira,CARLOS EDUARDO PEREIRA,Identificação_Exata
0175462550826005,antonio carlos cavalcanti,ANTONIO CARLOS CAVALCANTI,Identificação_Exata
0187018118567986,valeria goncalves soares,VALERIA GONCALVES SOARES,Identificação_Exata
0188685041571480,humberto jose longo,HUMBERTO JOSE LONGO,Identificação_Exata
0189095897739979,uira kulesza,UIRA KULESZA,Identificação_Exata
0191693518104042,luciano silva,LUCIANO SILVA,Identificação_Exata
0192085115595443,luciana aparecida martinez zaina,LUCIANA APARECIDA MARTINEZ ZAINA,Identificação_Exata
0202554111471014,tiago oliveira dos santos,THIAGO OLIVEIRA DOS SANTOS,Identificação_Exata
0211300683784278,marcia rosana cerioli,MARCIA ROSANA CERIOLI,Identificação_Exata
0215182355755221,jose antonio gomes de lima,JOSE ANTONIO GOMES DE LIMA,Identificação_Exata
0216160694523908,carlos eduardo pereira,CARLOS EDUARDO PEREIRA,Identificação_Exata
0216229039021964,maria emilia machado telles walter,MARIA EMILIA MACHADO TELLES WALTER,Identificação_Exata
0217539473152681,andrey tavares da silva,ANDRE TAVARES DA SILVA,Identificação_Exata
0224147659581707,paulo sergio lopes de souza,PAULO SERGIO LOPES DE SOUZA,Identificação_Exata
0232988306987805,gustavo pessin,GUSTAVO PESSIN,Identificação_Exata
0234527171754099,joao carlos da silva,JOAO CARLOS DA SILVA,Identificação_Exata
0240551533292579,liliane dos santos machado,LILIANE DOS SANTOS MACHADO,Identificação_Exata
0241862487783754,roseli aparecida francelin romero,ROSELI APARECIDA FRANCELIN ROMERO,Identificação_Exata
0247990329725342,andre fujita,ANDRE FUJITA,Identificação_Exata
0258955082535047,luciana vieira de araujo,LUCIANO VIEIRA DE ARAUJO,Identificação_Exata
0260303520888425,bruno bogaz zarpelao,BRUNO BOGAZ ZARPELAO,Identificação_Exata
0265445141987196,tiago oliveira dos santos,THIAGO OLIVEIRA DOS SANTOS,Identificação_Exata
0268728255033469,vania paula de almeida neris,VANIA PAULA DE ALMEIDA NERIS,Identificação_Exata
0268732896111424,kleber vieira cardoso,KLEBER VIEIRA CARDOSO,Identificação_Exata
0276583403489241,luiz otavio murta junior,LUIZ OTAVIO MURTA JUNIOR,Identificação_Exata
0281123427918307,alcione de paiva oliveira,ALCIONE DE PAIVA OLIVEIRA,Identificação_Exata
0283937076114434,pedro porfirio muniz farias,PEDRO PORFIRIO MUNIZ FARIAS,Identificação_Exata
0290950513716961,rita suzana pitangueira maciel,RITA SUZANA PITANGUEIRA MACIEL,Identificação_Exata
0296622203426132,juergen rochol,JUERGEN ROCHOL,Identificação_Exata
0300141044144026,marcela xavier ribeiro,MARCELA XAVIER RIBEIRO,Identificação_Exata
0304499456344968,ronald alves ferreira,RONALDO ALVES FERREIRA,Identificação_Exata
0306751604362704,baldoino fonseca dos santos neto,BALDOINO FONSECA DOS SANTOS NETO,Identificação_Exata
0306766365983082,maria cristina silva boeres,MARIA CRISTINA SILVA BOERES,Identificação_Exata
0316501273540746,antonio alberto fernandes de oliveira,ANTONIO ALBERTO FERNANDES DE OLIVEIRA,Identificação_Exata
0330924133337698,bruno motta de carvalho,BRUNO MOTTA DE CARVALHO,Identificação_Exata
0347699824689300,rita maria da silva,RITA MARIA DA SILVA,Identificação_Exata
0348490713417429,leliane nunes de barros,LELIANE NUNES DE BARROS,Identificação_Exata
0354912979137923,eliana martins,ELIANE MARTINS,Identificação_Exata
0359360551958223,claudio fabiano motta toledo,CLAUDIO FABIANO MOTTA TOLEDO,Identificação_Exata
0361123363747622,gisele da silva craveiro,GISELE DA SILVA CRAVEIRO,Identificação_Exata
0362417828475021,junior barrera,JUNIOR BARRERA,Identificação_Exata
0368311142108150,rodrigo bonifacio de almeida,RODRIGO BONIFACIO DE ALMEIDA,Identificação_Exata
0369165171803086,eber assis schmitz,EBER ASSIS SCHMITZ,Identificação_Exata
0372650483087124,luciano reboucas de oliveira,LUCIANO REBOUCAS DE OLIVEIRA,Identificação_Exata
0378897709136226,carina friedrich dorneles,CARINA FRIEDRICH DORNELES,Identificação_Exata
0379304660057174,raquel coelho gomes pinto,RAQUEL COELHO GOMES PINTO,Identificação_Exata
0379703325940422,fernando mario de oliveira filho,FERNANDO MARIO DE OLIVEIRA FILHO,Identificação_Exata
0383608404125369,tiago pereira do nascimento,TIAGO PEREIRA DO NASCIMENTO,Identificação_Exata
0400232298849115,marco antonio casanova,MARCO ANTONIO CASANOVA,Identificação_Exata
0400880030173624,alexandre goncalves silva,ALEXANDRE GONCALVES SILVA,Identificação_Exata
0401470121643212,silvia regina vergilio,SILVIA REGINA VERGILIO,Identificação_Exata
0412577035083946,lucas mello schnorr,LUCAS MELLO SCHNORR,Identificação_Exata
0414774970277777,glaucio haroldo silva de carvalho,GLAUCIO HAROLDO SILVA DE CARVALHO,Identificação_Exata
0422812885426756,marcelo gomes de queiroz,MARCELO GOMES DE QUEIROZ,Identificação_Exata
0427387583450747,ricardo araujo rios,RICARDO ARAUJO RIOS,Identificação_Exata
0427692772445368,roberto ierusalimschy,ROBERTO IERUSALIMSCHY,Identificação_Exata
0431549063408317,thiago oliveira dos santos,THIAGO OLIVEIRA DOS SANTOS,Identificação_Exata
0438695263897215,kathia maria honorio,KATHIA MARIA HONORIO,Identificação_Exata
0453754730316303,luiz henrique andrade correia,LUIZ HENRIQUE ANDRADE CORREIA,Identificação_Exata
0453892715674953,flavio de barros vidal,FLAVIO DE BARROS VIDAL,Identificação_Exata
0455487141833418,carlos alberto heuser,CARLOS ALBERTO HEUSER,Identificação_Exata
0462549482032704,thomas walter rauber,THOMAS WALTER RAUBER,Identificação_Exata
0469026493582204,joao carlos da silva,JOAO CARLOS DA SILVA,Identificação_Exata
0471595469074043,clodoveu augusto davis junior,CLODOVEU AUGUSTO DAVIS JUNIOR,Identificação_Exata
0477790254860946,jose de oliveira guimaraes,JOSE DE OLIVEIRA GUIMARAES,Identificação_Exata
0481478169272902,paulo roberto ferreira junior,PAULO ROBERTO FERREIRA JUNIOR,Identificação_Exata
0483602747631661,nardenio almeida martins,NARDENIO ALMEIDA MARTINS,Identificação_Exata
0483707899231728,milene selbach silveira,MILENE SELBACH SILVEIRA,Identificação_Exata
0487231065057783,heloisa de arruda camargo,HELOISA DE ARRUDA CAMARGO,Identificação_Exata
0488054917286587,cicero garrozi,CICERO GARROZI,Identificação_Exata
0488311297383894,maria aparecida fernandes,MARCIA APARECIDA FERNANDES,Identificação_Exata
0504332643175649,alexandre marcos lins de vasconcelos,ALEXANDRE MARCOS LINS DE VASCONCELOS,Identificação_Exata
0506569373440954,andrei de araujo formiga,ANDREI DE ARAUJO FORMIGA,Identificação_Exata
0513724372523279,fernando marques federson,FERNANDO MARQUES FEDERSON,Identificação_Exata
0523104569378276,marcia helena costa fampa,MARCIA HELENA COSTA FAMPA,Identificação_Exata
0525430082581472,evandro eduardo seron ruiz,EVANDRO EDUARDO SERON RUIZ,Identificação_Exata
0528154281423964,maria claudia silva boeres,MARIA CLAUDIA SILVA BOERES,Identificação_Exata
0530079432063644,flavia de oliveira silva,FLAVIO DE OLIVEIRA SILVA,Identificação_Exata
0534822491953359,gilberto amado de azevedo cysneiros filho,GILBERTO AMADO DE AZEVEDO CYSNEIROS FILHO,Identificação_Exata
0535266455387139,christiano de oliveira braga,CHRISTIANO DE OLIVEIRA BRAGA,Identificação_Exata
0544106600515308,bruno magalhaes nogueira,BRUNO MAGALHAES NOGUEIRA,Identificação_Exata
0556459512101837,luis alfredo vidal de carvalho,LUIS ALFREDO VIDAL DE CARVALHO,Identificação_Exata
0557976975338451,nelson delfino d'avila mascarenhas,NELSON DELFINO D AVILA MASCARENHAS,Identificação_Exata
0561643838450805,isabel cristina mello rosseti,ISABEL CRISTINA MELLO ROSSETI,Identificação_Exata
0572649289828640,fabricio enembreck,FABRICIO ENEMBRECK,Identificação_Exata
0573662728816861,murilo coelho naldi,MURILO COELHO NALDI,Identificação_Exata
0577264623261591,marcos veloso peixoto,MARCOS VELOSO PEIXOTO,Identificação_Exata
0577503698179302,raquel vigolvino lopes,RAQUEL VIGOLVINO LOPES,Identificação_Exata
0579645991754652,bruna feijo,BRUNO FEIJO,Identificação_Exata
0581226769296441,carla taciana lima lourenco silva schuenemann,CARLA TACIANA LIMA LOURENCO SILVA SCHUENEMANN,Identificação_Exata
0586999087225404,joao marcos de almeida,JOAO MARCOS DE ALMEIDA,Identificação_Exata
0598828216648683,henrique nou schneider,HENRIQUE NOU SCHNEIDER,Identificação_Exata
0608337674042057,osmar norberto de souza,OSMAR NORBERTO DE SOUZA,Identificação_Exata
0611031507120144,leizer de lima pinto,LEIZER DE LIMA PINTO,Identificação_Exata
0611351138131709,auri marcelo rizzo vincenzi,AURI MARCELO RIZZO VINCENZI,Identificação_Exata
0612005197639506,aline maria santos andrade,ALINE MARIA SANTOS ANDRADE,Identificação_Exata
0613768899914607,fabiano silva,FABIANO SILVA,Identificação_Exata
0614189256239574,daniel trevisan,DANIELA TREVISAN,Identificação_Exata
0620986273710878,marcelo finger,MARCELO FINGER,Identificação_Exata
0625922822611048,luiz paulo luna de oliveira,LUIS PAULO LUNA DE OLIVEIRA,Identificação_Exata
0632045091074618,leandro melo de sales,LEANDRO MELO DE SALES,Identificação_Exata
0638632787682079,paulo caetano da silva,PAULO CAETANO DA SILVA,Identificação_Exata
0649930882307115,francisco carlos de mattos brito oliveira,FRANCISCO CARLOS DE MATTOS BRITO OLIVEIRA,Identificação_Exata
0652038346929546,clever ricardo guareis de farias,CLEVER RICARDO GUAREIS DE FARIAS,Identificação_Exata
