AN_BASE,CD_PROGRAMA_IES,NM_PROGRAMA_IES,NM_PROGRAMA_IDIOMA,SG_ENTIDADE_ENSINO,NM_ENTIDADE_ENSINO,CS_STATUS_JURIDICO,DS_DEPENDENCIA_ADMINISTRATIVA,DS_ORGANIZACAO_ACADEMICA,NM_GRANDE_AREA_CONHECIMENTO,NM_AREA_CONHECIMENTO,NM_AREA_AVALIACAO,NM_GRAU_PROGRAMA,SG_UF_PROGRAMA,NM_MUNICIPIO_PROGRAMA_IES,CD_CONCEITO_PROGRAMA,ANO_INICIO_PROGRAMA,NM_MODALIDADE_PROGRAMA,NM_REGIAO,SG_ENTIDADE_ENSINO_REDE,IN_REDE
2015,33003017031P9,TEORIA E HISTÓRIA LITERÁRIA,LITERARY THEORY AND HISTORY,UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,ESTADUAL,PÚBLICO,NÃO INFORMADO,"LINGÜÍSTICA, LETRAS E ARTES",LETRAS,LETRAS / LINGUÍSTICA,MESTRADO/DOUTORADO,SP,CAMPINAS,7,1977,ACADÊMICO,SUDESTE,NA,NÃO
2015,33003017033P1,BIOLOGIA CELULAR E ESTRUTURAL,CELLULAR AND STRUCTURAL BIOLOGY,UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,ESTADUAL,PÚBLICO,NÃO INFORMADO,CIÊNCIAS BIOLÓGICAS,BIOLOGIA GERAL,CIÊNCIAS BIOLÓGICAS I,MESTRADO/DOUTORADO,SP,CAMPINAS,6,1980,ACADÊMICO,SUDESTE,NA,NÃO
2015,33003017034P8,ENGENHARIA QUÍMICA,CHEMICAL ENGINEERING,UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,ESTADUAL,PÚBLICO,NÃO INFORMADO,ENGENHARIAS,ENGENHARIA QUÍMICA,ENGENHARIAS II,MESTRADO/DOUTORADO,SP,CAMPINAS,6,1980,ACADÊMICO,SUDESTE,NA,NÃO
2015,33003017038P3,GEOCIÊNCIAS,GRADUATE PROGRAM IN GEOSCIENCES,UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,ESTADUAL,PÚBLICO,NÃO INFORMADO,CIÊNCIAS EXATAS E DA TERRA,GEOCIÊNCIAS,GEOCIÊNCIAS,MESTRADO/DOUTORADO,SP,CAMPINAS,6,1983,ACADÊMICO,SUDESTE,NA,NÃO
2015,33003017039P0,CIÊNCIAS SOCIAIS,PHD IN SOCIAL SCIENCES,UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,ESTADUAL,PÚBLICO,NÃO INFORMADO,CIÊNCIAS HUMANAS,SOCIOLOGIA,SOCIOLOGIA,DOUTORADO,SP,CAMPINAS,5,1985,ACADÊMICO,SUDESTE,NA,NÃO
2015,33003017040P8,BIOLOGIA FUNCIONAL E MOLECULAR,PROGRAM FUNCTIONAL AND MOLECULAR BIOLOGY,UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,ESTADUAL,PÚBLICO,NÃO INFORMADO,CIÊNCIAS BIOLÓGICAS,BIOQUÍMICA,CIÊNCIAS BIOLÓGICAS II,MESTRADO/DOUTORADO,SP,CAMPINAS,6,1985,ACADÊMICO,SUDESTE,UFMT,SIM
2015,33003017041P4,ENGENHARIA CIVIL,CIVIL ENGINEERING,UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,ESTADUAL,PÚBLICO,NÃO INFORMADO,ENGENHARIAS,ENGENHARIA CIVIL,ENGENHARIAS I,MESTRADO/DOUTORADO,SP,CAMPINAS,4,1986,ACADÊMICO,SUDESTE,NA,NÃO
2015,33003017042P0,ALIMENTOS E NUTRIÇÃO,FOOD AND NUTRITION PROGRAM,UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,ESTADUAL,PÚBLICO,NÃO INFORMADO,CIÊNCIAS AGRÁRIAS,CIÊNCIA E TECNOLOGIA DE ALIMENTOS,CIÊNCIA DE ALIMENTOS,MESTRADO/DOUTORADO,SP,CAMPINAS,5,1987,ACADÊMICO,SUDESTE,NA,NÃO
2015,33003017043P7,LINGÜÍSTICA APLICADA,APPLIED LINGUISTICS,UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,ESTADUAL,PÚBLICO,NÃO INFORMADO,"LINGÜÍSTICA, LETRAS E ARTES",LINGÜÍSTICA,LETRAS / LINGUÍSTICA,MESTRADO/DOUTORADO,SP,CAMPINAS,6,1987,ACADÊMICO,SUDESTE,NA,NÃO
2015,33003017044P3,MULTIMEIOS,MULTIMEDIA,UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,ESTADUAL,PÚBLICO,NÃO INFORMADO,CIÊNCIAS SOCIAIS APLICADAS,COMUNICAÇÃO,CIÊNCIAS SOCIAIS APLICADAS I,MESTRADO/DOUTORADO,SP,CAMPINAS,4,1986,ACADÊMICO,SUDESTE,NA,NÃO
2015,33003017046P6,EDUCAÇÃO FÍSICA,PHYSICAL EDUCATION,UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,ESTADUAL,PÚBLICO,NÃO INFORMADO,CIÊNCIAS DA SAÚDE,EDUCAÇÃO FÍSICA,EDUCAÇÃO FÍSICA,MESTRADO/DOUTORADO,SP,CAMPINAS,4,1988,ACADÊMICO,SUDESTE,NA,NÃO
2015,33003017047P2,POLÍTICA CIENTÍFICA E TECNOLÓGICA,SCIENCE AND TECHNOLOGY POLICY,UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,ESTADUAL,PÚBLICO,NÃO INFORMADO,MULTIDISCIPLINAR,INTERDISCIPLINAR,INTERDISCIPLINAR,MESTRADO/DOUTORADO,SP,CAMPINAS,6,1988,ACADÊMICO,SUDESTE,NA,NÃO
